0, 0
0.008, 0
0.016, 0
0.024, 0
0.032, 0.005
0.04, 0.01
0.048, 0.01
0.056, 0.025
0.064, 0.025
0.072, 0.025
0.08, 0.025
0.088, 0.03
0.096, 0.03
0.104, 0.036
0.112, 0.036
0.12, 0.036
0.128, 0.036
0.136, 0.036
0.144, 0.042
0.152, 0.084
0.16, 0.22
0.168, 0.356
0.176, 0.492
0.184, 0.628
0.192, 0.764
0.2, 0.9
0.208, 1.072
0.216, 1.344
0.224, 1.616
0.232, 1.888
0.24, 2
0.248, 2
0.256, 2
0.264, 2
0.272, 1.752
0.28, 1.48
0.288, 1.208
0.296, 0.936
0.304, 0.664
0.312, 0.392
0.32, 0.12
0.328, 0
0.336, 0
0.344, 0
0.352, 0
0.36, 0
0.368, 0
0.376, 0
0.384, 0.056
0.392, 0.328
0.4, 0.6
0.408, 0.872
0.416, 2.584
0.424, 5.576
0.432, 8.568
0.44, 11.56
0.448, 14.552
0.456, 17.544
0.464, 20.536
0.472, 21.272
0.48, 11.48
0.488, 1.688
0.496, -8.104
0.504, -11.912
0.512, -9.736
0.52, -7.56
0.528, -5.384
0.536, -4.104
0.544, -3.016
0.552, -1.928
0.56, -0.96
0.568, -0.688
0.576, -0.416
0.584, -0.144
0.592, 0
0.6, 0
0.608, 0
0.616, 0
0.624, 0
0.632, 0
0.64, 0
0.648, 0.016
0.656, 0.152
0.664, 0.288
0.672, 0.424
0.68, 0.56
0.688, 0.696
0.696, 0.832
0.704, 0.968
0.712, 1.416
0.72, 1.96
0.728, 2.504
0.736, 3.048
0.744, 3.592
0.752, 4.136
0.76, 4.68
0.768, 5
0.776, 5
0.784, 5
0.792, 5
0.8, 4.8
0.808, 4.528
0.816, 4.256
0.824, 3.952
0.832, 3.136
0.84, 2.32
0.848, 1.504
0.856, 0.896
0.864, 0.624
0.872, 0.352
0.88, 0.08
0.888, 0.04
0.896, 0.02
0.904, 0.02
0.912, 0.01
0.92, 0.01
0.928, 0.01
0.936, 0.01
0.944, 0.01
0.952, 0.01
0.96, 0
0.968, 0
0.976, 0
0.984, 0
0.992, 0
1, 0
1.008, 0
1.016, 0
1.024, 0
1.032, 0.005
1.04, 0.01
1.048, 0.01
1.056, 0.025
1.064, 0.025
1.072, 0.025
1.08, 0.025
1.088, 0.03
1.096, 0.03
1.104, 0.036
1.112, 0.036
1.12, 0.036
1.128, 0.036
1.136, 0.036
1.144, 0.042
1.152, 0.084
1.16, 0.22
1.168, 0.356
1.176, 0.492
1.184, 0.628
1.192, 0.764
1.2, 0.9
1.208, 1.072
1.216, 1.344
1.224, 1.616
1.232, 1.888
1.24, 2
1.248, 2
1.256, 2
1.264, 2
1.272, 1.752
1.28, 1.48
1.288, 1.208
1.296, 0.936
1.304, 0.664
1.312, 0.392
1.32, 0.12
1.328, 0
1.336, 0
1.344, 0
1.352, 0
1.36, 0
1.368, 0
1.376, 0
1.384, 0.056
1.392, 0.328
1.4, 0.6
1.408, 0.872
1.416, 2.584
1.424, 5.576
1.432, 8.568
1.44, 11.56
1.448, 14.552
1.456, 17.544
1.464, 20.536
1.472, 21.272
1.48, 11.48
1.488, 1.688
1.496, -8.104
1.504, -11.912
1.512, -9.736
1.52, -7.56
1.528, -5.384
1.536, -4.104
1.544, -3.016
1.552, -1.928
1.56, -0.96
1.568, -0.688
1.576, -0.416
1.584, -0.144
1.592, 0
1.6, 0
1.608, 0
1.616, 0
1.624, 0
1.632, 0
1.64, 0
1.648, 0.016
1.656, 0.152
1.664, 0.288
1.672, 0.424
1.68, 0.56
1.688, 0.696
1.696, 0.832
1.704, 0.968
1.712, 1.416
1.72, 1.96
1.728, 2.504
1.736, 3.048
1.744, 3.592
1.752, 4.136
1.76, 4.68
1.768, 5
1.776, 5
1.784, 5
1.792, 5
1.8, 4.8
1.808, 4.528
1.816, 4.256
1.824, 3.952
1.832, 3.136
1.84, 2.32
1.848, 1.504
1.856, 0.896
1.864, 0.624
1.872, 0.352
1.88, 0.08
1.888, 0.04
1.896, 0.02
1.904, 0.02
1.912, 0.01
1.92, 0.01
1.928, 0.01
1.936, 0.01
1.944, 0.01
1.952, 0.01
1.96, 0
1.968, 0
1.976, 0
1.984, 0
1.992, 0
